Nom du skin,2025-06-05,Steam - 2025-06-05,SkinBaron - 2025-06-05,Steam - 2025-06-06,SkinBaron - 2025-06-06,Steam - 2025-06-07,SkinBaron - 2025-06-07
AK-47 | Wasteland Rebel (Field-Tested),60.41,60.41,38.54,61.25,38.54,59.97,38.43
AK-47 | Wasteland Rebel (Minimal Wear),108.27,108.27,61.43,114.37,61.43,113.45,61.65
AK-47 | Wasteland Rebel (Well-Worn),69.53,69.53,47.41,69.99,47.41,69.37,52.69
AK-47 | Wild Lotus (Battle-Scarred),,,4090.7,,4090.7,,4149.9
AK-47 | Wild Lotus (Factory New),,,18545.25,,18545.25,,23240.11
AK-47 | Wild Lotus (Field-Tested),,,11136.27,,11136.27,,12375.46
AK-47 | Wild Lotus (Minimal Wear),,,13497.75,,13497.75,,13497.74
AK-47 | Wild Lotus (Well-Worn),,,7500.0,,7500.0,,8500.0
AK-47 | Wintergreen (Battle-Scarred),2.99,2.99,2.17,2.96,2.17,2.99,2.67
AK-47 | Wintergreen (Factory New),24.04,24.04,17.57,24.78,17.57,24.62,18.82
AK-47 | Wintergreen (Field-Tested),3.79,3.79,2.89,3.58,2.89,3.65,3.33
AK-47 | Wintergreen (Minimal Wear),12.19,12.19,9.38,12.51,9.38,13.91,10.62
AK-47 | Wintergreen (Well-Worn),4.6,4.6,3.63,4.55,3.63,4.64,3.82
AK-47 | X-Ray (Battle-Scarred),757.71,757.71,386.53,,386.53,,384.91
